file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
.easignore,.easignore,2025-11-23T11:01:51+01:00,2025-11-23T11:01:51+01:00,1,1,1,0.00,
.github/workflows/eas-update.yml,.github/workflows/eas-update.yml,2025-07-23T08:03:59+02:00,2026-01-26T15:03:44+01:00,2,2,2,0.00,
.gitignore,.gitignore,2025-07-23T08:03:59+02:00,2025-12-21T23:44:15+01:00,4,4,2,0.00,
.mcp.json,.mcp.json,2026-01-10T21:50:30+01:00,2026-01-10T21:50:30+01:00,1,1,1,0.00,
.nvmrc,.nvmrc,2026-01-26T15:03:44+01:00,2026-01-26T15:03:44+01:00,1,1,1,0.00,
.vscode/settings.json,.vscode/settings.json,2025-11-24T05:54:06+01:00,2025-11-24T05:54:06+01:00,1,1,1,0.00,
.zprofile_update.sh,.zprofile_update.sh,2025-09-22T23:19:37+02:00,2025-09-22T23:19:37+02:00,1,1,1,0.00,
CONVEX_DEPLOYMENT_STEPS.md,CONVEX_DEPLOYMENT_STEPS.md,2026-01-26T15:03:44+01:00,2026-01-26T15:03:44+01:00,1,1,1,0.00,
CONVEX_IMPLEMENTATION.md,CONVEX_IMPLEMENTATION.md,2026-01-26T15:03:44+01:00,2026-01-26T15:03:44+01:00,1,1,1,0.00,
DESIGN_GUIDE.md,DESIGN_GUIDE.md,2025-10-03T21:59:36+02:00,2025-10-03T21:59:36+02:00,1,1,1,0.00,
DesignGuide.md,DesignGuide.md,2025-07-23T08:03:59+02:00,2025-08-21T22:19:47+02:00,3,3,1,0.00,
EXPO_SDK_54_FINAL_SUCCESS.md,EXPO_SDK_54_FINAL_SUCCESS.md,2025-09-22T23:19:37+02:00,2025-09-22T23:19:37+02:00,1,1,1,0.00,
EXPO_SDK_54_UPDATE_GUIDE.md,EXPO_SDK_54_UPDATE_GUIDE.md,2025-09-22T23:19:37+02:00,2025-09-22T23:19:37+02:00,1,1,1,0.00,
EXPO_UPDATE_GUIDE.md,EXPO_UPDATE_GUIDE.md,2025-09-22T23:19:37+02:00,2025-09-22T23:19:37+02:00,1,1,1,0.00,
README.md,README.md,2025-07-23T08:03:59+02:00,2026-01-26T15:03:44+01:00,3,3,2,0.00,
SDK53_CORRECTED_UPDATE.md,SDK53_CORRECTED_UPDATE.md,2025-09-22T23:19:37+02:00,2025-09-22T23:19:37+02:00,1,1,1,0.00,
SUPABASE_SETUP.md,SUPABASE_SETUP.md,2025-07-23T08:03:59+02:00,2025-11-04T19:56:13+01:00,2,2,2,0.00,
SYNC_FIX_README.md,SYNC_FIX_README.md,2025-07-23T08:03:59+02:00,2025-07-23T08:03:59+02:00,1,1,1,0.00,
TERMINAL_SETUP_ANLEITUNG.md,TERMINAL_SETUP_ANLEITUNG.md,2025-09-25T07:37:23+02:00,2026-01-26T15:03:44+01:00,2,2,1,0.00,
android/.gitignore,android/.gitignore,2025-07-23T08:03:59+02:00,2025-07-23T08:03:59+02:00,1,1,1,0.00,
android/app/build.gradle,android/app/build.gradle,2025-07-23T08:03:59+02:00,2026-01-10T21:50:30+01:00,3,3,2,0.00,
android/app/debug.keystore,android/app/debug.keystore,2025-07-23T08:03:59+02:00,2025-07-23T08:03:59+02:00,1,1,1,0.00,
android/app/proguard-rules.pro,android/app/proguard-rules.pro,2025-07-23T08:03:59+02:00,2025-07-23T08:03:59+02:00,1,1,1,0.00,
android/app/src/debug/AndroidManifest.xml,android/app/src/debug/AndroidManifest.xml,2025-07-23T08:03:59+02:00,2025-07-23T08:03:59+02:00,1,1,1,0.00,
android/app/src/main/AndroidManifest.xml,android/app/src/main/AndroidManifest.xml,2025-07-23T08:03:59+02:00,2026-01-10T21:50:30+01:00,3,3,2,0.00,
android/app/src/main/java/com/lottibaby/app/MainActivity.kt,android/app/src/main/java/com/lottibaby/app/MainActivity.kt,2025-07-23T08:03:59+02:00,2025-07-23T08:03:59+02:00,1,1,1,0.00,
android/app/src/main/java/com/lottibaby/app/MainApplication.kt,android/app/src/main/java/com/lottibaby/app/MainApplication.kt,2025-07-23T08:03:59+02:00,2025-07-23T08:03:59+02:00,1,1,1,0.00,
android/app/src/main/res/drawable-hdpi/splashscreen_logo.png,android/app/src/main/res/drawable-hdpi/splashscreen_logo.png,2025-07-23T08:03:59+02:00,2026-01-10T21:50:30+01:00,2,2,2,0.00,
android/app/src/main/res/drawable-mdpi/splashscreen_logo.png,android/app/src/main/res/drawable-mdpi/splashscreen_logo.png,2025-07-23T08:03:59+02:00,2026-01-10T21:50:30+01:00,2,2,2,0.00,
android/app/src/main/res/drawable-xhdpi/splashscreen_logo.png,android/app/src/main/res/drawable-xhdpi/splashscreen_logo.png,2025-07-23T08:03:59+02:00,2026-01-10T21:50:30+01:00,2,2,2,0.00,
